"Model Name","Type","Source","License","Repository","Purpose"
"Silero VAD","Voice Activity Detection","Silero Team","MIT","https://github.com/snakers4/silero-vad","Offline voice activity detection (pre/post speech processing)"
"Silero VAD v5","Voice Activity Detection","Silero Team","MIT","https://github.com/snakers4/silero-vad","Updated VAD model for improved accuracy"
"Silero VAD (Legacy)","Voice Activity Detection","Silero Team","MIT","https://github.com/snakers4/silero-vad","Legacy VAD model for backward compatibility"
"SenseVoice (sherpa-onnx)","Automatic Speech Recognition","Alibaba / FunAudioLLM","Apache-2.0","https://github.com/k2-fsa/sherpa-onnx","Offline multilingual ASR (zh/en/ja/ko/yue) via sherpa-onnx"
"MOSS-TTS-Nano-100M","Text-to-Speech","OpenMOSS-Team / Fudan NLP","Apache-2.0","https://github.com/OpenMOSS/MOSS-TTS","Local Chinese TTS synthesis (ONNX runtime)"
"MOSS-Audio-Tokenizer-Nano","Audio Codec","OpenMOSS-Team / Fudan NLP","Apache-2.0","https://github.com/OpenMOSS/MOSS-TTS","Audio tokenizer for MOSS TTS pipeline"
"paraphrase-multilingual-MiniLM-L12-v2","Text Embedding","Sentence-Transformers","Apache-2.0","https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2","Text embeddings for knowledge base (FAISS vector search)"
"THA4 Model","Desktop Pet Animation","THA Project","MIT","https://github.com/pkhungurn/talking-head-anime-4-demo","Live2D-style character animation model for desktop pet"
